"filename", "language", "TypeScript", "JSON with Comments", "Svelte", "JSON", "CSS", "Markdown", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 50
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 25, 0, 0, 0, 9, 34
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 21
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 19, 1, 5, 25
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 72, 1, 9, 82
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\.prettierrc", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 14, 0, 27
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\README.md", "Markdown", 0, 0, 0, 0, 0, 73, 0, 0, 2, 38, 113
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\esbuild.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\manifest.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\package-lock.json", "JSON", 0, 0, 0, 18449, 0, 0, 0, 0, 0, 1, 18450
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\package.json", "JSON", 0, 0, 0, 78, 0, 0, 0, 0, 0, 1, 79
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Editor\Commands.ts", "TypeScript", 463, 0, 0, 0, 0, 0, 0, 0, 9, 93, 565
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Editor\EditorHelpers.ts", "TypeScript", 336, 0, 0, 0, 0, 0, 0, 0, 35, 58, 429
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Editor\InternalLink.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 2, 6, 72
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Editor\RenderMarkdown.ts", "TypeScript", 341, 0, 0, 0, 0, 0, 0, 0, 44, 75, 460
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Enums\component-context.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Enums\duration-picker-type.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Enums\timer-state.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\FileInterface.ts", "TypeScript", 339, 0, 0, 0, 0, 0, 0, 0, 35, 54, 428
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Graphics.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 19, 143
